Anio,Mes,TOTAL,ClimAdjust,ANOM
2018,1,25.57,26.55,-0.98
2018,2,25.98,26.76,-0.78
2018,3,26.50,27.29,-0.80
2018,4,27.32,27.83,-0.51
2018,5,27.74,27.94,-0.20
2018,6,27.77,27.73,0.05
2018,7,27.42,27.29,0.12
2018,8,26.95,26.86,0.09
2018,9,27.19,26.72,0.47
2018,10,27.62,26.72,0.90
2018,11,27.61,26.70,0.90
2018,12,27.49,26.60,0.89
2019,1,27.20,26.55,0.65
2019,2,27.48,26.76,0.71
2019,3,28.10,27.29,0.80
2019,4,28.45,27.83,0.62
2019,5,28.49,27.94,0.55
2019,6,28.18,27.73,0.45
2019,7,27.64,27.29,0.35
2019,8,26.90,26.86,0.04
2019,9,26.75,26.72,0.04
2019,10,27.20,26.72,0.48
2019,11,27.23,26.70,0.52
2019,12,27.12,26.60,0.52
2020,1,27.16,26.55,0.60
2020,2,27.13,26.76,0.37
2020,3,27.77,27.29,0.48
2020,4,28.19,27.83,0.36
2020,5,27.66,27.94,-0.27
2020,6,27.39,27.73,-0.34
2020,7,26.99,27.29,-0.30
2020,8,26.27,26.86,-0.59
2020,9,25.89,26.72,-0.83
2020,10,25.46,26.72,-1.25
2020,11,25.28,26.70,-1.42
2020,12,25.45,26.60,-1.15
2021,1,25.56,26.55,-0.99
2021,2,25.76,26.76,-1.00
2021,3,26.50,27.29,-0.80
2021,4,27.11,27.83,-0.72
2021,5,27.48,27.94,-0.46
2021,6,27.45,27.73,-0.28
2021,7,26.90,27.29,-0.39
2021,8,26.32,26.86,-0.53
2021,9,26.16,26.72,-0.55
2021,10,25.78,26.72,-0.94
2021,11,25.76,26.70,-0.94
2021,12,25.54,26.60,-1.06
2022,1,25.61,26.55,-0.95
2022,2,25.88,26.76,-0.89
2022,3,26.33,27.29,-0.97
2022,4,26.72,27.83,-1.11
2022,5,26.83,27.94,-1.11
2022,6,26.98,27.73,-0.75
2022,7,26.60,27.29,-0.70
2022,8,25.88,26.86,-0.97
2022,9,25.65,26.72,-1.07
2022,10,25.73,26.72,-0.99
2022,11,25.80,26.70,-0.90
2022,12,25.75,26.60,-0.86
2023,1,25.83,26.55,-0.72
2023,2,26.30,26.76,-0.46
2023,3,27.18,27.29,-0.11
2023,4,27.96,27.83,0.13
2023,5,28.39,27.94,0.46
2023,6,28.56,27.73,0.84
2023,7,28.31,27.29,1.02
2023,8,28.20,26.86,1.35
2023,9,28.32,26.72,1.60
2023,10,28.44,26.72,1.72
2023,11,28.72,26.70,2.02
2023,12,28.63,26.60,2.02
