departamento,provincia,distrito,ubigeo_inei,ubigeo_reniec,altitud_msnm,latitud,longitud
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,10101.0,10101.0,2338.0,-6.22944444444445,-77.8727777777777
AMAZONAS,CHACHAPOYAS,ASUNCION,10102.0,10102.0,2823.0,-6.0325,-77.7108333333333
AMAZONAS,CHACHAPOYAS,BALSAS,10103.0,10103.0,859.0,-6.83583333333333,-78.0197222222222
AMAZONAS,CHACHAPOYAS,CHETO,10104.0,10104.0,2143.0,-6.25555555555555,-77.7008333333333
AMAZONAS,CHACHAPOYAS,CHILIQUIN,10105.0,10105.0,2677.0,-6.07833333333333,-77.7375
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,10106.0,10106.0,2803.0,-6.935,-77.8541666666667
AMAZONAS,CHACHAPOYAS,GRANADA,10107.0,10107.0,3041.0,-6.10638888888889,-77.6286111111111
AMAZONAS,CHACHAPOYAS,HUANCAS,10108.0,10108.0,2591.0,-6.17361111111111,-77.8644444444444
AMAZONAS,CHACHAPOYAS,LA JALCA,10109.0,10109.0,2869.0,-6.48472222222222,-77.815
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110.0,10110.0,2226.0,-6.7075,-77.8038888888889
AMAZONAS,CHACHAPOYAS,LEVANTO,10111.0,10111.0,2681.0,-6.30777777777778,-77.8991666666667
AMAZONAS,CHACHAPOYAS,MAGDALENA,10112.0,10112.0,1892.0,-6.37305555555555,-77.9016666666667
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,10113.0,10113.0,2210.0,-6.59444444444444,-77.8086111111111
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,10114.0,10114.0,2405.0,-6.20916666666667,-77.6691666666667
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,10115.0,10115.0,2421.0,-6.61805555555555,-77.8022222222222
AMAZONAS,CHACHAPOYAS,OLLEROS,10116.0,10116.0,3053.0,-6.02388888888889,-77.6763888888889
AMAZONAS,CHACHAPOYAS,QUINJALCA,10117.0,10117.0,3151.0,-6.09138888888889,-77.6786111111111
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,10118.0,10118.0,2254.0,-6.22916666666667,-77.74
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,10119.0,10119.0,2339.0,-6.33722222222222,-77.8805555555555
AMAZONAS,CHACHAPOYAS,SOLOCO,10120.0,10120.0,2387.0,-6.26055555555555,-77.7441666666667
AMAZONAS,CHACHAPOYAS,SONCHE,10121.0,10121.0,2089.0,-6.21888888888889,-77.7752777777778
AMAZONAS,BAGUA,BAGUA,10201.0,10205.0,408.0,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,ARAMANGO,10202.0,10202.0,502.0,-5.41638888888889,-78.4377777777778
AMAZONAS,BAGUA,COPALLIN,10203.0,10203.0,693.0,-5.675,-78.4230555555555
AMAZONAS,BAGUA,EL PARCO,10204.0,10204.0,626.0,-5.625,-78.4752777777778
AMAZONAS,BAGUA,IMAZA,10205.0,10206.0,317.0,-5.16361111111111,-78.2888888888889
AMAZONAS,BAGUA,LA PECA,10206.0,10201.0,892.0,-5.61194444444444,-78.4369444444445
AMAZONAS,BONGARA,JUMBILLA,10301.0,10301.0,2081.0,-5.90444444444445,-77.7977777777778
AMAZONAS,BONGARA,CHISQUILLA,10302.0,10304.0,2057.0,-5.8975,-77.7861111111111
AMAZONAS,BONGARA,CHURUJA,10303.0,10305.0,1399.0,-6.01944444444445,-77.95194444444449
AMAZONAS,BONGARA,COROSHA,10304.0,10302.0,2297.0,-5.84333333333333,-77.8225
AMAZONAS,BONGARA,CUISPES,10305.0,10303.0,1912.0,-5.92833333333333,-77.9461111111111
AMAZONAS,BONGARA,FLORIDA,10306.0,10306.0,2251.0,-5.82611111111111,-77.9694444444445
AMAZONAS,BONGARA,JAZAN,10307.0,10312.0,1342.0,-5.94138888888889,-77.9772222222222
AMAZONAS,BONGARA,RECTA,10308.0,10307.0,2166.0,-5.91777777777778,-77.7888888888889
AMAZONAS,BONGARA,SAN CARLOS,10309.0,10308.0,1942.0,-5.96611111111111,-77.9452777777778
AMAZONAS,BONGARA,SHIPASBAMBA,10310.0,10309.0,1668.0,-5.91055555555555,-77.9805555555556
AMAZONAS,BONGARA,VALERA,10311.0,10310.0,1928.0,-6.04277777777778,-77.9191666666667
AMAZONAS,BONGARA,YAMBRASBAMBA,10312.0,10311.0,1887.0,-5.73527777777778,-77.925
AMAZONAS,CONDORCANQUI,NIEVA,10401.0,10601.0,189.0,-4.59222222222222,-77.8644444444444
AMAZONAS,CONDORCANQUI,EL CENEPA,10402.0,10603.0,253.0,-4.45555555555555,-78.1588888888889
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,10403.0,10602.0,190.0,-4.01583333333333,-77.7608333333333
AMAZONAS,LUYA,LAMUD,10501.0,10401.0,2328.0,-6.13916666666667,-77.9522222222222
AMAZONAS,LUYA,CAMPORREDONDO,10502.0,10402.0,1748.0,-6.21333333333333,-78.32
AMAZONAS,LUYA,COCABAMBA,10503.0,10403.0,2273.0,-6.61416666666667,-78.005
AMAZONAS,LUYA,COLCAMAR,10504.0,10404.0,2355.0,-6.29944444444445,-77.9730555555555
AMAZONAS,LUYA,CONILA,10505.0,10405.0,2767.0,-6.15916666666667,-78.1419444444445
AMAZONAS,LUYA,INGUILPATA,10506.0,10406.0,2380.0,-6.23944444444445,-77.9538888888889
AMAZONAS,LUYA,LONGUITA,10507.0,10407.0,2799.0,-6.41361111111111,-77.9683333333333
AMAZONAS,LUYA,LONYA CHICO,10508.0,10408.0,2329.0,-6.22972222222222,-77.955
AMAZONAS,LUYA,LUYA,10509.0,10409.0,2359.0,-6.16416666666667,-77.9441666666667
AMAZONAS,LUYA,LUYA VIEJO,10510.0,10410.0,2924.0,-6.1275,-78.085
AMAZONAS,LUYA,MARIA,10511.0,10411.0,2757.0,-6.42888888888889,-77.9608333333333
AMAZONAS,LUYA,OCALLI,10512.0,10412.0,1757.0,-6.23527777777778,-78.2663888888889
AMAZONAS,LUYA,OCUMAL,10513.0,10413.0,1898.0,-6.2825,-78.2108333333333
AMAZONAS,LUYA,PISUQUIA,10514.0,10414.0,2049.0,-6.45333333333333,-78.0919444444444
AMAZONAS,LUYA,PROVIDENCIA,10515.0,10423.0,1784.0,-6.29722222222222,-78.2408333333333
AMAZONAS,LUYA,SAN CRISTOBAL,10516.0,10415.0,2636.0,-6.10166666666667,-77.9597222222222
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,10517.0,10416.0,2404.0,-6.64694444444444,-77.8116666666667
AMAZONAS,LUYA,SAN JERONIMO,10518.0,10417.0,2498.0,-6.05972222222222,-77.9744444444444
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,10519.0,10418.0,2164.0,-6.49638888888889,-77.8619444444444
AMAZONAS,LUYA,SANTA CATALINA,10520.0,10419.0,2574.0,-6.11361111111111,-78.0608333333333
AMAZONAS,LUYA,SANTO TOMAS,10521.0,10420.0,2837.0,-6.5725,-77.8658333333333
AMAZONAS,LUYA,TINGO,10522.0,10421.0,1800.0,-6.37972222222222,-77.9058333333333
AMAZONAS,LUYA,TRITA,10523.0,10422.0,2888.0,-6.15194444444445,-77.9808333333333
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,10601.0,10501.0,1616.0,-6.39527777777778,-77.4822222222222
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,10602.0,10503.0,1663.0,-6.52305555555555,-77.4425
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,10603.0,10502.0,1720.0,-6.4075,-77.5852777777778
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,10604.0,10504.0,1731.0,-6.43111111111111,-77.5366666666667
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,10605.0,10505.0,1677.0,-6.49805555555555,-77.4988888888889
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,10606.0,10506.0,1623.0,-6.38583333333334,-77.5466666666667
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,10607.0,10508.0,1592.0,-6.38611111111111,-77.5044444444444
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,10608.0,10507.0,1665.0,-6.5,-77.4363888888889
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,10609.0,10509.0,1368.0,-6.46777777777778,-77.3955555555555
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,10610.0,10510.0,1770.0,-6.45361111111111,-77.4552777777778
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,10611.0,10511.0,1674.0,-6.49305555555555,-77.4716666666667
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,10612.0,10512.0,1504.0,-6.15083333333333,-77.3038888888889
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701.0,10701.0,444.0,-5.75472222222222,-78.4427777777778
AMAZONAS,UTCUBAMBA,CAJARURO,10702.0,10702.0,469.0,-5.73638888888889,-78.4266666666667
AMAZONAS,UTCUBAMBA,CUMBA,10703.0,10703.0,477.0,-5.93555555555556,-78.6636111111111
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704.0,10704.0,392.0,-5.63777777777778,-78.5583333333333
